Project Name,Owner,Repository URL,Stars,Watchers,Forks,Size (KB),Visibility,Language,Created Date,Last Updated,Community Engagement Rank,Fork Network Rank,Maturity Rank,Overall Tier
Java,SRMIST-Codes-Official,https://github.com/SRMIST-Codes-Official/Java,1,1,1,738,Public,Java,05-Sep-2024,2 days,1,6,25,TOP
InQv8,jerry-xon,https://github.com/jerry-xon/InQv8,1,1,0,5262,Private,JavaScript,01-Sep-2025,17-Apr-2026,1,22,13,TOP
EB_Mobile_App,jerry-xon,https://github.com/jerry-xon/EB_Mobile_App,0,1,3,4001,Private,JavaScript,01-May-2025,9 days,22,1,14,TOP
TrashCash,jerry-xon,https://github.com/jerry-xon/TrashCash,0,1,2,805,Public,JavaScript,26-Sep-2024,17-Oct-2024,22,2,21,TOP
MagicMail,jerry-xon,https://github.com/jerry-xon/MagicMail,0,0,1,2277,Private,JavaScript,21-Aug-2025,22-Aug-2025,22,3,19,HIGH
ml-minor-multimodal-heat,7xAyush,https://github.com/7xAyush/ml-minor-multimodal-heat,0,0,0,188286,Public,Python,06-Mar-2026,44 days,22,22,1,HIGH
MyFirstBite_App,jerry-xon,https://github.com/jerry-xon/MyFirstBite_App,0,1,0,103651,Public,JavaScript,24-Apr-2025,24-Apr-2025,22,22,2,HIGH
AI-fake-news-detection,7xAyush,https://github.com/7xAyush/AI-fake-news-detection,0,0,0,38859,Public,Python,24-Mar-2026,15-Apr-2026,22,22,3,HIGH
Physionet,Vishva-C-Patel,https://github.com/Vishva-C-Patel/Physionet,0,0,0,11132,Public,Swift,03-Apr-2026,10-Apr-2026,22,22,6,MID
Physio_Connect,saumya2304singh,https://github.com/saumya2304singh/Physio_Connect,0,0,0,8116,Public,Swift,29-Dec-2025,06-Apr-2026,22,22,7,MID
EB_Mobile_App_SRM,7xAyush,https://github.com/7xAyush/EB_Mobile_App_SRM,0,0,0,4245,Private,N/A,24-Oct-2025,24-Oct-2025,22,22,16,MID
Energuard_AI,7xAyush,https://github.com/7xAyush/Energuard_AI,0,0,0,1011,Private,Python,04-Apr-2026,44 days,22,22,20,MID
Software_Engineering_ChatBot,7xAyush,https://github.com/7xAyush/Software_Engineering_ChatBot,0,0,0,117,Public,Jupyter Notebook,16-Mar-2026,16-Mar-2026,22,22,26,MID
SE-Methodology-Companion,7xAyush,https://github.com/7xAyush/SE-Methodology-Companion,0,0,0,34,Public,Jupyter Notebook,16-Mar-2026,16-Mar-2026,22,22,28,MID
LearnIrula-Mobile-App,jerry-xon,https://github.com/jerry-xon/LearnIrula-Mobile-App,0,0,0,2131,Private,JavaScript,04-Aug-2025,08-Aug-2025,22,22,18,MID
SRM-Event-App,jerry-xon,https://github.com/jerry-xon/SRM-Event-App,0,0,0,1784,Private,JavaScript,01-Jun-2025,10-Jun-2025,22,22,22,MID
KURUVI-Mobile-App,jerry-xon,https://github.com/jerry-xon/KURUVI-Mobile-App,0,0,0,115,Private,JavaScript,11-Jul-2025,11-Jul-2025,22,22,27,MID
Family_Finance_Tracker,7xAyush,https://github.com/7xAyush/Family_Finance_Tracker,0,0,0,134,Public,TypeScript,05-Jun-2025,05-Jun-2025,22,22,29,LOWER
7xAyush,7xAyush,https://github.com/7xAyush/7xAyush,0,1,0,17,Public,N/A,12-Feb-2025,04-Apr-2026,22,22,32,LOWER
QuoteSpace,7xAyush,https://github.com/7xAyush/QuoteSpace,0,0,0,312,Public,TypeScript,11-Nov-2025,11-Nov-2025,22,22,24,LOWER
IDMS,7xAyush,https://github.com/7xAyush/IDMS,0,0,0,179,Public,JavaScript,11-Jun-2025,11-Jun-2025,22,22,25,LOWER
FSWD,7xAyush,https://github.com/7xAyush/FSWD,0,0,0,168,Private,JavaScript,01-Sep-2025,14-Sep-2025,22,22,23,LOWER
Dyanmix_quiz-app,7xAyush,https://github.com/7xAyush/Dyanmix_quiz-app,0,0,0,184,Public,TypeScript,22-Oct-2025,22-Oct-2025,22,22,25,LOWER
lms-app,7xAyush,https://github.com/7xAyush/lms-app,0,0,0,164,Public,TypeScript,22-Oct-2025,23-Oct-2025,22,22,25,LOWER
AutoTender,7xAyush,https://github.com/7xAyush/AutoTender,0,0,0,71,Public,JavaScript,45 days ago,45 days ago,22,22,30,LOWER
Banana-Ripeness-Prediction,saketruia,https://github.com/saketruia/Banana-Ripeness-Prediction,0,0,0,215,Public,Jupyter Notebook,25-Mar-2026,09-Apr-2026,22,22,25,LOWER
seeked-insight-hub,saketruia,https://github.com/saketruia/seeked-insight-hub,0,0,0,908,Private,TypeScript,28-Aug-2025,22-Sep-2025,22,22,21,LOWER
Connectifai,saketruia,https://github.com/saketruia/Connectifai,0,0,0,2277,Private,N/A,20-Sep-2025,20-Sep-2025,22,22,19,LOWER
voices-of-tamil-heritage,7xAyush,https://github.com/7xAyush/voices-of-tamil-heritage,0,1,0,179,Private,TypeScript,06-May-2025,06-May-2025,22,22,25,LOWER
disaster-relief-allocation,jerry-xon,https://github.com/jerry-xon/disaster-relief-allocation,0,1,0,32,Public,JavaScript,17-Mar-2025,23-Mar-2025,22,22,31,LOWER
paint-github-2ef6c,7xAyush,https://github.com/7xAyush/paint-github-2ef6c,0,1,0,88,Private,N/A,12-Feb-2025,10-Jun-2025,22,22,29,LOWER
first-contributions,7xAyush,https://github.com/7xAyush/first-contributions,0,0,0,2946,Public,N/A,12-Feb-2025,12-Feb-2025,22,22,17,LOWER
DSA-C-,7xAyush,https://github.com/7xAyush/DSA-C-,0,1,0,20,Public,C,20-Jan-2025,20-Jan-2025,22,22,31,LOWER
c-minus-minus,7xAyush,https://github.com/7xAyush/c-minus-minus,0,1,0,1,Private,C++,01-Dec-2024,01-Dec-2024,22,22,32,LOWER
-bfhl-srm-fullstack,7xAyush,https://github.com/7xAyush/-bfhl-srm-fullstack,0,0,0,35,Public,JavaScript,55 days ago,55 days ago,22,22,28,LOWER
Nimittxo/EB_Mobile_App,Nimittxo,https://github.com/Nimittxo/EB_Mobile_App,0,0,0,2344,Private,JavaScript,03-May-2025,13-May-2025,22,22,18,LOWER
